Feature ID	Taxon
MF347106	A;A.2
MF347120	A;A.2
AJ515373	B;B
JF706213	A;A.1
LR723641	A;A.1
LT854238	A;A.2
MF073210	B;B
MF073214	B;B
MF347107	A;A.2
MF347114	A;A.2
MF347136	A;A.2
MF347251	A;A.2
MF347329	B;B
MG591600	A;A.1
MG591647	A;A.2
MG591668	A;A.2
MK581041	A;A.3
MN481699	A;A.2
MT790456	A;A.1
MW310829	A;A.2
MZ669795	A;A.2
AB222694	A;A.1
AB222695	A;A.1
AB222869	B;B
AB222896	A;A.1
AB222902	B;B
AB222928	A;A.1
AB222931	A;A.1
AF264131	A;A.1
AF547178	B;B
AJ515374	B;B
AJ564440	A;A.1
AJ699317	B;B
AJ868245	B;B
AY080943	A;A.1
DQ008369	A;A.1
DQ295904	A;A.1
DQ984193	A;A.1
EU071107	B;B
FJ529725	B;B
FJ529752	B;B
FJ529765	B;B
FJ529791	B;B
FN394203	A;A.1
FN395327	B;B
FN395328	B;B
HE617968	B;B
JF798629	B;B
JN591071	B;B
JN591183	A;A.1
JN591194	A;A.1
JN591214	A;A.1
JN591215	A;A.1
JN830451	B;B
JN830512	B;B
JN830517	B;B
KC844903	B;B
KC844910	A;A.1
KF264974	B;B
KF264983	B;B
KF264986	A;A.1
KF757049	B;B
KP218998	A;A.2
KU942392	A;A.1
KX024798	A;A.2
KX024799	A;A.2
KX024802	A;A.2
LC503633	A;A.1
LC503683	A;A.2
LC529912	A;A.2
LC529913	A;A.1
LC529914	A;A.2
LC529915	A;A.2
LC716107	B;B
LR723634	A;A.2
LR723637	A;A.2
LR723639	A;A.1
MF073209	A;A.1
MF073212	A;A.1
MF073213	B;B
MF073216	A;A.1
MF073217	A;A.1
MF073219	A;A.1
MF073220	B;B
MF073221	A;A.1
MF073227	B;B
MF346938	A;A.1
MF346971	A;A.1
MF346975	B;B
MF346988	A;A.1
MF347007	A;A.1
MF347009	A;A.1
MF347015	A;A.1
MF347031	B;B
MF347062	B;B
MF347064	B;B
MF347073	B;B
MF347075	A;A.2
MF347078	A;A.2
MF347091	A;A.2
MF347093	A;A.2
MF347095	A;A.1
MF347100	A;A.2
MF347103	A;A.2
MF347104	A;A.2
MF347105	A;A.2
MF347108	A;A.2
MF347109	A;A.2
MF347116	A;A.2
MF347117	A;A.2
MF347119	A;A.2
MF347124	A;A.2
MF347130	A;A.2
MF347131	A;A.2
MF347137	A;A.1
MF347143	A;A.2
MF347145	B;B
MF347148	B;B
MF347153	B;B
MF347162	B;B
MF347164	B;B
MF347168	B;B
MF347169	B;B
MF347176	B;B
MF347179	B;B
MF347185	B;B
MF347192	B;B
MF347193	B;B
MF347200	B;B
MF347214	B;B
MF347229	B;B
MF347233	A;A.1
MF347246	A;A.2
MF347260	A;A.2
MF347264	A;A.2
MF347269	B;B
MF347270	B;B
MF347295	A;A.2
MF347296	A;A.2
MF347299	A;A.2
MF347300	A;A.1
MF347304	A;A.2
MF347305	A;A.2
MF347309	A;A.2
MF347310	A;A.2
MF347334	B;B
MF347343	B;B
MF347346	B;B
MF347355	A;A.1
MF347356	A;A.1
MF347361	A;A.1
MF347368	A;A.1
MF347377	A;A.1
MG387156	A;A.1
MG387159	A;A.1
MG387160	A;A.1
MG387161	A;A.1
MG387162	A;A.1
MG387163	A;A.1
MG387164	A;A.1
MG387165	A;A.2
MG387166	A;A.2
MG387167	A;A.2
MG387169	A;A.1
MG591522	A;A.2
MG591525	A;A.1
MG591528	A;A.2
MG591534	A;A.1
MG591536	A;A.1
MG591540	A;A.1
MG591541	A;A.2
MG591548	A;A.2
MG591551	A;A.2
MG591557	A;A.1
MG591559	A;A.2
MG591561	A;A.2
MG591564	A;A.3
MG591569	A;A.2
MG591571	A;A.2
MG591573	A;A.1
MG591574	A;A.2
MG591576	A;A.2
MG591577	A;A.2
MG591581	A;A.2
MG591591	A;A.2
MG591602	A;A.1
MG591603	A;A.1
MG591604	A;A.2
MG591606	A;A.2
MG591607	A;A.2
MG591609	A;A.2
MG591613	A;A.2
MG591616	A;A.2
MG591622	A;A.1
MG591638	A;A.2
MG591642	A;A.1
MG591643	A;A.1
MG591645	A;A.2
MG591650	A;A.2
MG591652	A;A.2
MG591655	A;A.2
MG591656	A;A.1
MG591660	A;A.1
MG591667	A;A.2
MG591679	A;A.1
MH444516	A;A.2
MH587122	A;A.1
MH587126	A;A.1
MH587128	A;A.1
MK167306	A;A.1
MK167322	B;B
MK167324	A;A.1
MK167336	B;B
MK167339	B;B
MK167342	B;B
MK167348	B;B
MK290932	A;A.1
MK290934.1	A;A.2
MK290940	B;B
MK290944	A;A.2
MK290960	B;B
MK290967	A;A.2
MK290978	A;A.1
MK581036	A;A.3
MK581037	A;A.3
MK581038	A;A.3
MK581039	A;A.2
MK581040	A;A.2
MK581042	A;A.3
MK581043	A;A.3
MK581044	A;A.2
MK581045	A;A.2
MK581046	A;A.2
MK581047	A;A.2
MK581048	A;A.2
MK581049	A;A.3
MK581050	A;A.3
MK948225	A;A.1
MN011823	A;A.2
MN011825	A;A.1
MN061710	A;A.2
MN481673	A;A.2
MN481679	A;A.2
MN481681	A;A.2
MN481682	A;A.2
MN481683	A;A.2
MN481685	A;A.2
MN481695	A;A.2
MN481696	A;A.2
MN481706	A;A.2
MN481716	B;B
MN684863	A;A.2
MN783397	A;A.1
MN783417	A;A.2
MN783421	A;A.2
MN783424	A;A.2
MN836850	A;A.2
MN836854	A;A.2
MN836857	A;A.2
MN972512	A;A.2
MN972513	A;A.2
MN972515	A;A.2
MN972516	A;A.2
MN972517	A;A.2
MN972519	A;A.2
MN972523	A;A.2
MT133492	A;A.1
MT133495	A;A.1
MT133497	A;A.1
MT133498	B;B
MT196125	A;A.1
MT196131	A;A.2
MT196135	A;A.1
MT395052	A;A.2
MT395056	B;B
MT395065	B;B
MT395067	A;A.2
MT395074	B;B
MT395079	A;A.2
MT395082	A;A.1
MT395088	B;B
MT395095	A;A.2
MT395097	A;A.2
MT395098	B;B
MT395103	A;A.2
MT395119	A;A.2
MT395124	A;A.2
MT395133.1	A;A.2
MT395139	A;A.2
MT409044	B;B
MT409045	B;B
MT409048	B;B
MT409050	A;A.2
MT409052	B;B
MT409054	B;B
MT409061	B;B
MT409064.1	A;A.2
MT409068	B;B
MT409072	B;B
MT409074	A;A.2
MT409078	A;A.1
MT409079	A;A.2
MT409081	B;B
MT409083	B;B
MT409088	B;B
MT409092	B;B
MT409096	A;A.2
MT790384	A;A.1
MT790389	A;A.2
MT790392	A;A.1
MT790393	A;A.2
MT790397	A;A.2
MT790398	A;A.3
MT790401	A;A.3
MT790406	A;A.2
MT790431	A;A.2
MT790445	A;A.1
MT790451	A;A.1
MT790475.1	A;A.2
MT790476	A;A.2
MT790479	B;B
MT790482	B;B
MT790484	B;B
MT790486	B;B
MT790489	B;B
MT790491	B;B
MW310750	A;A.1
MW310772	A;A.3
MW310793	A;A.2
MW310808	A;A.1
MW310811	A;A.2
MW310854	A;A.1
MW310910	A;A.2
MW310931	A;A.1
MW310940	B;B
MW310955	B;B
MW310956	B;B
MW310957	B;B
MW310965	B;B
MW314939	A;A.2
MW314987	A;A.2
MW342817	A;A.2
MW342842	A;A.2
MW342856	A;A.2
MW342862	A;A.2
MW342872	A;A.2
MW342886	A;A.2
MW342888	A;A.2
MW342890	A;A.2
MW342925	A;A.2
MW342938	A;A.2
